id,created_at,screen_name,u_created_at,statuses_count,followers,friends,location,profile_background_color,text
ID_1265399470876999681,5/26/2020 21:48,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48211,1475,4459,"Florida, USA",0,Climate Models Underestimated Greenland's Melting  With Catastrophic Impact On Whole World - https://t.co/6V8N1OQg2k #GoogleAlerts
ID_1265399504100081664,5/26/2020 21:48,DavidLWindt,Wed Dec 30 16:17:17 +0000 2009,24472,4500,981,New York City,C0DEED,"This is what the #ClimateCrisis looks like in #SouthAsia right now.

""All our farmlands and shrimp enclosures have… https://t.co/FL4RjUNzau"
ID_1265399584009977857,5/26/2020 21:49,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48216,1475,4459,"Florida, USA",0,Planting Trees Won't Stop Climate Change - https://t.co/0KlbLe21nc #GoogleAlerts
ID_1265399639408345094,5/26/2020 21:49,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48219,1475,4459,"Florida, USA",0,Webinar Wednesday: Fake Climate News (aka Fossil Fuel'd Propaganda) — The Who  Why  &amp; How - https://t.co/BClU1NGRBg #GoogleAlerts
ID_1265399693967835143,5/26/2020 21:49,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48222,1475,4459,"Florida, USA",0,Canberra hooked on fossil fuels  damn the climate - https://t.co/tXlAz6nqgY #GoogleAlerts
ID_1265400358282690566,5/26/2020 21:52,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230713,25425,27259,"Taos, New Mexico, USA",8B542B,SteamDrills -It ain't no sin or shame to be a lover of all that's holy and unholy alike Climate 5Star Inspiration from RiveraSunAuthor 5Star
ID_1265404205453451264,5/26/2020 22:07,JaneKBrundage,Sat Mar 17 17:26:44 +0000 2012,11557,118,85,"Coyoacán, Mexico City",C0DEED,#COVID19Recovery Will Be #EcologicalTransition  Or It Won't Be A Recovery | #ClimateCrisis #CommunityEnergy… https://t.co/s8hT6Sc67o
ID_1265407111749611526,5/26/2020 22:19,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17098,52481,17723,"Glasgow, Scotland",C0DEED,Since 1994  the islanders of the seven atolls  lying only 3.9 feet above sea level  have already lost about 50% of… https://t.co/DwkJf8QOoj
ID_1265417178045546496,5/26/2020 22:59,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17100,52483,17723,"Glasgow, Scotland",C0DEED,"If you care about the economy. It's time to invest in nature!

#ActOnClimate #ClimateCrisis #KeepItInTheGround https://t.co/6iQrMV8nvh"
ID_1265427244329119753,5/26/2020 23:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17100,52484,17723,"Glasgow, Scotland",C0DEED,Climate change is having profound effects on earth and its ecosystems &amp; during the past 100 years  global temperatu… https://t.co/PFc0NGzsJU
ID_1265429586386583552,5/26/2020 23:48,DavidLWindt,Wed Dec 30 16:17:17 +0000 2009,24474,4500,981,New York City,C0DEED,"This is what the #ClimateCrisis looks like in the #US right now.

#Miami: ""Thunder rumbled  car alarms sounded &amp; bu… https://t.co/fhSIvXpZaK"
ID_1265436812010352642,5/27/2020 0:17,charlierichmond,Mon Sep 22 03:30:33 +0000 2008,335411,1807,1860,Vancouver and London,C0DEED,Greta Thunberg Calls Out Alberta Minister Who Said It’s A Great Time To Build Pipelines | HuffPost Canada https://t.co/drkioFpwLC
ID_1265437310855737347,5/27/2020 0:19,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17102,52486,17724,"Glasgow, Scotland",C0DEED,"OPEC Says climate activists were perhaps the greatest threat to our industry going forward.

I say the fossil fuel… https://t.co/yiriIJsxKq"
